"id","x_avg","y_avg","z_avg","vb_avg","x_stddev","y_stddev","z_stddev","vb_stddev","x_var","y_var","z_var","vb_var","x_rms","y_rms","z_rms","vb_rms"
"0","95.0521","151.412","257.03","0.00065","6.91534","11.0101","13.3645","3.90508","47.8219","121.223","178.61","15.2497","19.3815","31.195","42.455","11.7955"
"3","140.029","175.038","291.091","-0.00911","8.42763","11.3169","15.8073","1.22728","71.025","128.072","249.87","1.50621","25.795","36.845","52.77","3.6804"
"2","111.769","153.224","272.365","-0.06829","11.4741","15.1962","21.8417","1.57234","131.655","230.925","477.06","2.47225","33.5765","43.63","63.61","4.673"
"0","94.1685","144.792","253.956","0.05316","5.62023","11.9851","11.9541","3.59852","31.587","143.643","142.9","12.9493","18.4665","33.485","31.69","9.3857"
"1","100.737","150.002","265.708","-0.02325","10.6312","12.6917","14.6895","1.5481","113.023","161.08","215.78","2.39661","29.226","41.645","47.425","4.4348"
"0","95.66","152.703","262.948","0.00992","6.09872","9.84607","12.2621","3.8912","37.1944","96.945","150.36","15.1414","19.2305","26.01","35.74","11.678"
"2","113.416","158.303","278.991","-0.01632","10.4108","13.1041","21.5155","1.41452","108.385","171.717","462.915","2.00086","31.21","37.835","67.125","4.3004"
"2","111.314","153.972","274.053","-0.01062","11.0742","13.8322","22.0094","1.54939","122.639","191.33","484.415","2.40061","32.049","44.315","63.84","4.70665"
"1","102.303","153.124","268.642","-0.00988","9.31672","10.3385","15.0685","1.56209","86.8012","106.885","227.06","2.44012","28.0025","29.065","44.215","4.83335"
"2","112.763","155.726","273.443","0.08427","10.8927","13.9828","23.8408","1.42792","118.651","195.518","568.385","2.03895","30.672","39.28","67.58","3.97665"
"3","140.476","173.231","281.118","0.03037","7.91783","11.5278","16.8259","1.10723","62.6921","132.89","283.11","1.22596","20.98","35.395","48.035","3.12755"
"3","138.009","167.861","277.581","0.02268","9.51266","10.5438","14.7657","1.18352","90.4908","111.173","218.025","1.40073","34.72","30.74","39.86","4.06065"
"3","140.308","174","282.706","0.04565","8.59657","11.7369","15.5645","1.16489","73.9009","137.755","242.255","1.35698","28.84","34.705","45.665","3.2146"
"0","96.1398","151.251","257.968","0.07161","6.32589","11.0777","14.8486","4.0525","40.0169","122.715","220.48","16.4228","17.9305","29.44","41.155","13.0065"
"2","112.705","159.318","279.685","-0.03878","11.1354","13.6275","21.0899","1.41098","123.996","185.708","444.785","1.99087","29.6845","42.485","53.915","5.0273"
"2","112.579","152.788","268.2","-0.12653","10.3812","14.1579","21.1095","1.48364","107.77","200.445","445.61","2.20119","28.388","41.04","61.625","3.85445"
"1","102.427","153.646","270.184","-0.03096","9.59508","11.8744","16.9487","1.53719","92.0656","141.003","287.26","2.36295","26.3235","38.37","48.49","4.66535"
"3","139.082","171.556","282.483","-0.04054","8.44475","11.1675","15.1775","1.29416","71.3138","124.713","230.355","1.67484","26.25","32.645","43.525","3.9064"
